# list of object assets to load in this scene
[ASSETS]
assets\mario.txt
assets\brick.txt
assets\coin.txt
assets\goomba.txt
assets\cloud.txt
assets\background_1-1.txt
assets\item.txt
assets\funnel.txt
#
#
#map_id	matrix_path	width	height
[MAPS]
10000	map\tilemap_1-1.txt	2832	432
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	20	10

# BRICKS
1	192	352	100	1
1	177	352	100	1

#COIN
4	100	120
4	120	120
4	140	120
4	160	120
4	180	120

# FUNNEL
6	360	384	100
6	1800	392	0
6	1864	384	100
6	2328	392	0

#Goomba
2	300	10

#Platform
5	90	136	16	16	16
5	120	90	16	16	8
5	0	416	16	16	39
5	624	416	16	16	29
5	624	400	16	16	29
5	1152	416	16	16	22
5	1536	416	16	16	5
5	1664	416	16	16	36
5	2256	416	16	16	35
5	352	368	16	16	2
5	240	368	16	16	3
5	272	336	16	16	3
5	400	368	16	16	5
5	464	336	16	16	4
5	512	384	16	16	6
5	512	304	16	16	4
5	1264	384	16	16	7
5	1296	352	16	16	7
5	1328	320	16	16	7
5	1312	144	16	16	4
5	1408	192	16	16	4
5	1486	176	16	16	13

#Portal 
50	300	110	316	140	2
